"Country Code","Country","State Code","State","District","Arsenic breached","Chloride breached","Floride breached","EC breached","Iron  breached","Nitrate breached"
"01","India","02","Andhra Pradesh","Adilabad","no","no","yes","no","yes","yes"
"01","India","02","Andhra Pradesh","Anantapur","no","no","no","yes","no","no"
"01","India","02","Andhra Pradesh","Chittoor","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Cuddapah","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","East godavari","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Guntur","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Hyderabad","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Karimnagar","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Khammam","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Krishna","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Kurnool","no","no","no","yes","no","no"
"01","India","02","Andhra Pradesh","Mahbubnagar","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Medak","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Nalgonda","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Nellore","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Nizamabad","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Prakasam","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Ranga reddy","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Srikakulam","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Visakhapatnam","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Vizianagaram","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","Warangal","no","no","no","no","no","no"
"01","India","02","Andhra Pradesh","West godavari","no","no","no","no","no","no"
"01","India","04","Assam","Barpeta","no","no","no","no","no","no"
"01","India","04","Assam","Bongaigaon","no","no","no","no","no","no"
"01","India","04","Assam","Cachar","no","no","no","no","yes","no"
"01","India","04","Assam","Darrang","no","no","no","no","no","no"
"01","India","04","Assam","Dhemaji","yes","no","no","no","no","no"
"01","India","04","Assam","Dhubri","no","no","no","no","no","no"
"01","India","04","Assam","Dibrugarh","no","no","no","no","no","no"
"01","India","04","Assam","Goalpara","no","no","yes","no","no","no"
"01","India","04","Assam","Golaghat","no","no","no","no","no","no"
"01","India","04","Assam","Hailakandi","no","no","no","no","no","no"
"01","India","04","Assam","Jorhat","no","no","no","no","no","no"
"01","India","04","Assam","Kamrup","no","no","no","no","no","no"
"01","India","04","Assam","Karbi anglong","no","no","no","no","no","no"
"01","India","04","Assam","Karimganj","no","no","no","no","no","no"
"01","India","04","Assam","Kokrajhar","no","no","no","no","no","no"
"01","India","04","Assam","Lakhimpur","no","no","no","no","no","no"
"01","India","04","Assam","Marigaon","no","no","no","no","no","no"
"01","India","04","Assam","Nagaon","no","no","no","no","no","no"
"01","India","04","Assam","Nalbari","no","no","no","no","no","no"
"01","India","04","Assam","Sibsagar","no","no","no","no","no","no"
"01","India","04","Assam","Sonitpur","no","no","no","no","no","no"
"01","India","04","Assam","Tinsukia","no","no","no","no","no","no"
"01","India","05","Bihar","Araria","no","no","no","no","no","no"
"01","India","05","Bihar","Aurangabad","no","no","yes","no","yes","yes"
"01","India","05","Bihar","Banka","no","no","no","no","no","no"
"01","India","05","Bihar","Begusarai","yes","no","no","no","no","no"
"01","India","05","Bihar","Bhagalpur","no","no","no","no","no","no"
"01","India","05","Bihar","Bhojpur","no","no","no","no","no","no"
"01","India","05","Bihar","Buxar","no","no","no","no","no","no"
"01","India","05","Bihar","Darbhanga","no","no","no","no","no","no"
"01","India","05","Bihar","Gaya","no","no","no","no","no","no"
"01","India","05","Bihar","Gopalganj","no","no","no","no","no","no"
"01","India","05","Bihar","Jamui","no","no","no","no","no","no"
"01","India","05","Bihar","Jehanabad","no","no","no","no","no","no"
"01","India","05","Bihar","Kaimur","no","no","no","no","no","no"
"01","India","05","Bihar","Katihar","no","no","no","no","no","no"
"01","India","05","Bihar","Khagaria","no","no","no","no","no","no"
"01","India","05","Bihar","Kishanganj","no","no","no","no","no","no"
"01","India","05","Bihar","Lakhisarai","no","no","no","no","no","no"
"01","India","05","Bihar","Madhepura","no","no","no","no","no","no"
"01","India","05","Bihar","Madhubani","no","no","no","no","no","no"
"01","India","05","Bihar","Munger","yes","no","no","no","no","no"
"01","India","05","Bihar","Muzaffarpur","no","no","no","no","no","no"
"01","India","05","Bihar","Nalanda","no","no","no","no","no","no"
"01","India","05","Bihar","Nawada","no","no","no","no","no","no"
"01","India","05","Bihar","Pashchim champaran","no","no","no","no","no","no"
"01","India","05","Bihar","Patna","no","no","no","no","no","no"
"01","India","05","Bihar","Purba champaran","no","no","no","no","no","no"
"01","India","05","Bihar","Purnia","no","no","no","no","no","no"
"01","India","05","Bihar","Rohtas","no","no","no","no","no","no"
"01","India","05","Bihar","Saharsa","no","no","no","no","no","no"
"01","India","05","Bihar","Samastipur","no","no","no","no","no","no"
"01","India","05","Bihar","Saran","no","no","no","no","no","no"
"01","India","05","Bihar","Seikhpura","no","no","no","no","no","no"
"01","India","05","Bihar","Sheohar","no","no","no","no","no","no"
"01","India","05","Bihar","Sitamarhi","no","no","no","no","no","no"
"01","India","05","Bihar","Siwan","no","no","no","no","no","no"
"01","India","05","Bihar","Supaul","no","no","no","no","no","no"
"01","India","05","Bihar","Vaishali","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Bastar","no","no","yes","no","yes","yes"
"01","India","07","Chhattisgarh","Bilaspur","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Dhamtari","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Durg","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Janjgir - champa","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Jashpur","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Kanker","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Kawardha","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Korba","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Koriya","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Mahasamund","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Raigarh","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Raipur","no","no","no","no","no","no"
"01","India","07","Chhattisgarh","Rajnandgaon","yes","no","no","no","no","no"
"01","India","07","Chhattisgarh","Surguja","no","no","no","no","no","no"
"01","India","10","Delhi","Central","no","no","no","no","no","no"
"01","India","10","Delhi","East","no","no","no","no","no","no"
"01","India","10","Delhi","New delhi","no","no","no","no","no","no"
"01","India","10","Delhi","North","no","no","no","no","no","no"
"01","India","10","Delhi","North east","no","no","no","no","no","no"
"01","India","10","Delhi","North west","no","yes","no","yes","no","no"
"01","India","10","Delhi","South","no","no","no","no","no","no"
"01","India","10","Delhi","South west","no","no","no","no","no","no"
"01","India","10","Delhi","West","no","no","no","no","no","no"
"01","India","11","Goa","North goa","no","no","no","no","yes","yes"
"01","India","11","Goa","South goa","no","no","no","no","no","no"
"01","India","12","Gujarat","Ahmedabad","no","no","no","no","no","no"
"01","India","12","Gujarat","Amreli","no","no","no","no","no","no"
"01","India","12","Gujarat","Anand","no","no","no","no","no","no"
"01","India","12","Gujarat","Banaskantha","no","no","no","no","no","no"
"01","India","12","Gujarat","Bharuch","no","no","no","no","no","no"
"01","India","12","Gujarat","Bhavnagar","no","no","no","no","no","no"
"01","India","12","Gujarat","Daman","no","no","no","no","no","no"
"01","India","12","Gujarat","Dohad","no","no","no","no","no","no"
"01","India","12","Gujarat","Dui","no","no","no","no","no","no"
"01","India","12","Gujarat","Gandhinagar","no","no","no","no","no","no"
"01","India","12","Gujarat","Jamnagar","no","no","no","no","no","no"
"01","India","12","Gujarat","Junagadh","no","no","no","no","no","no"
"01","India","12","Gujarat","Kachchh","no","no","no","no","no","no"
"01","India","12","Gujarat","Kheda","no","no","no","no","no","no"
"01","India","12","Gujarat","Mahesana","no","no","no","no","no","no"
"01","India","12","Gujarat","Narmada","no","no","no","no","no","no"
"01","India","12","Gujarat","Navsari","no","no","no","no","no","no"
"01","India","12","Gujarat","Panchmahals","no","no","no","no","no","no"
"01","India","12","Gujarat","Patan","no","no","no","no","no","no"
"01","India","12","Gujarat","Porbandar","no","no","no","yes","no","no"
"01","India","12","Gujarat","Rajkot","no","no","no","no","no","no"
"01","India","12","Gujarat","Sabarkantha","no","no","no","no","no","no"
"01","India","12","Gujarat","Surat","no","no","no","no","no","no"
"01","India","12","Gujarat","Surendranagar","no","no","no","no","no","no"
"01","India","12","Gujarat","The dangs","no","no","no","no","no","no"
"01","India","12","Gujarat","Vadodara","no","no","yes","no","no","yes"
"01","India","12","Gujarat","Valsad","no","no","no","no","no","no"
"01","India","13","Haryana","Ambala","no","no","no","no","yes","yes"
"01","India","13","Haryana","Bhiwani","no","yes","yes","yes","no","no"
"01","India","13","Haryana","Faridabad","no","no","no","no","no","no"
"01","India","13","Haryana","Fatehabad","no","no","no","no","no","no"
"01","India","13","Haryana","Gurgaon","no","no","no","no","no","no"
"01","India","13","Haryana","Hisar","no","no","no","no","no","no"
"01","India","13","Haryana","Jhajjar","no","yes","no","no","no","no"
"01","India","13","Haryana","Jind","no","no","no","no","no","no"
"01","India","13","Haryana","Kaithal","no","no","no","no","no","no"
"01","India","13","Haryana","Karnal","no","no","no","no","no","no"
"01","India","13","Haryana","Kurukshetra","no","no","no","no","no","no"
"01","India","13","Haryana","Mahendragarh","no","yes","no","no","no","no"
"01","India","13","Haryana","Panchkula","no","no","no","no","no","no"
"01","India","13","Haryana","Panipat","no","no","no","no","no","no"
"01","India","13","Haryana","Rewari","no","no","no","no","no","no"
"01","India","13","Haryana","Rohtak","no","no","no","no","no","no"
"01","India","13","Haryana","Sirsa","no","no","no","no","no","no"
"01","India","13","Haryana","Sonipat","no","no","no","no","no","no"
"01","India","13","Haryana","Yamunanagar","no","no","no","no","no","no"
"01","India","14","Himachal Pradesh","Hamirpur","no","no","no","no","no","no"
"01","India","14","Himachal Pradesh","Kangra","no","no","no","no","no","no"
"01","India","14","Himachal Pradesh","Kullu","no","no","no","no","no","no"
"01","India","14","Himachal Pradesh","Mandi","no","no","no","yes","no","no"
"01","India","14","Himachal Pradesh","Sirmaur","no","no","no","no","no","no"
"01","India","14","Himachal Pradesh","Solan","no","no","no","no","no","no"
"01","India","14","Himachal Pradesh","Una","no","no","no","no","no","yes"
"01","India","15","JAMMU AND KASHMIR","Anantnag","no","no","no","no","no","no"
"01","India","15","JAMMU AND KASHMIR","Badgam","no","no","no","no","no","no"
"01","India","15","JAMMU AND KASHMIR","Baramula","no","no","no","no","yes","no"
"01","India","15","JAMMU AND KASHMIR","Jammu","no","no","no","no","no","yes"
"01","India","15","JAMMU AND KASHMIR","Kathua","no","no","no","no","no","no"
"01","India","15","JAMMU AND KASHMIR","Kupwara","no","no","no","no","no","no"
"01","India","15","JAMMU AND KASHMIR","Pulwama","no","no","no","no","no","no"
"01","India","15","JAMMU AND KASHMIR","Rajauri","no","no","yes","no","no","no"
"01","India","15","JAMMU AND KASHMIR","Srinagar","no","no","no","no","no","no"
"01","India","15","JAMMU AND KASHMIR","Udhampur","no","no","no","no","no","no"
"01","India","16","Jharkhand","Bokaro","no","no","yes","no","no","no"
"01","India","16","Jharkhand","Chatra","no","no","no","no","yes","yes"
"01","India","16","Jharkhand","Deoghar","no","no","no","no","no","no"
"01","India","16","Jharkhand","Dhanbad","no","no","no","no","no","no"
"01","India","16","Jharkhand","Dumka","no","no","no","no","no","no"
"01","India","16","Jharkhand","Garhwa","no","no","no","no","no","no"
"01","India","16","Jharkhand","Giridih","no","no","no","no","no","no"
"01","India","16","Jharkhand","Godda","no","no","no","no","no","no"
"01","India","16","Jharkhand","Gumla","no","no","no","no","no","no"
"01","India","16","Jharkhand","Hazaribag","no","no","no","no","no","no"
"01","India","16","Jharkhand","Kodarma","no","no","no","no","no","no"
"01","India","16","Jharkhand","Lohardaga","no","no","no","no","no","no"
"01","India","16","Jharkhand","Pakaur","no","no","no","no","no","no"
"01","India","16","Jharkhand","Palamu","no","no","no","no","no","no"
"01","India","16","Jharkhand","Pashchimi singhbhum","no","no","no","no","no","no"
"01","India","16","Jharkhand","Purbi singhbhum","no","no","no","no","no","no"
"01","India","16","Jharkhand","Ranchi","no","no","no","no","no","no"
"01","India","16","Jharkhand","Sahibganj","no","no","no","no","no","no"
"01","India","17","Karnataka","Bagalkot","no","yes","yes","yes","yes","yes"
"01","India","17","Karnataka","Bangalore rural","no","no","no","no","no","no"
"01","India","17","Karnataka","Bangalore urban","no","no","no","no","no","no"
"01","India","17","Karnataka","Belgaum","no","no","no","no","no","no"
"01","India","17","Karnataka","Bellary","no","no","no","no","no","no"
"01","India","17","Karnataka","Bidar","no","no","no","no","no","no"
"01","India","17","Karnataka","Bijapur","no","no","no","yes","no","no"
"01","India","17","Karnataka","Chamarajanagar","no","no","no","no","no","no"
"01","India","17","Karnataka","Chikmagalur","no","no","no","no","no","no"
"01","India","17","Karnataka","Chitradurga","no","no","no","no","no","no"
"01","India","17","Karnataka","Dakshin kannada","no","no","no","no","no","no"
"01","India","17","Karnataka","Davanagere","no","no","no","no","no","no"
"01","India","17","Karnataka","Dharwad","no","no","no","no","no","no"
"01","India","17","Karnataka","Gadag","no","no","no","yes","no","no"
"01","India","17","Karnataka","Gulbarga","no","no","no","no","no","no"
"01","India","17","Karnataka","Hassan","no","no","no","no","no","no"
"01","India","17","Karnataka","Haveri","no","no","no","no","no","no"
"01","India","17","Karnataka","Kodagu","no","no","no","no","no","no"
"01","India","17","Karnataka","Kolar","no","no","no","no","no","no"
"01","India","17","Karnataka","Koppal","no","no","no","no","no","no"
"01","India","17","Karnataka","Mandya","no","no","no","no","no","no"
"01","India","17","Karnataka","Mysore","no","no","no","no","no","no"
"01","India","17","Karnataka","Raichur","no","no","no","no","no","no"
"01","India","17","Karnataka","Shimoga","no","no","no","no","no","no"
"01","India","17","Karnataka","Tumkur","no","no","no","no","no","no"
"01","India","17","Karnataka","Udupi","no","no","no","no","no","no"
"01","India","17","Karnataka","Uttara kannada","no","no","no","no","no","no"
"01","India","18","Kerala","Alappuzha","no","no","no","no","yes","yes"
"01","India","18","Kerala","Ernakulam","no","no","no","no","no","no"
"01","India","18","Kerala","Idukki","no","no","no","no","no","no"
"01","India","18","Kerala","Kannur","no","no","no","no","no","no"
"01","India","18","Kerala","Kasaragod","no","no","no","no","no","no"
"01","India","18","Kerala","Kollam","no","no","no","no","no","no"
"01","India","18","Kerala","Kottayam","no","no","no","no","no","no"
"01","India","18","Kerala","Kozhikode","no","no","no","no","no","no"
"01","India","18","Kerala","Malappuram","no","no","no","no","no","no"
"01","India","18","Kerala","Palakkad","no","no","yes","yes","no","no"
"01","India","18","Kerala","Pathanamthitta","no","no","no","no","no","no"
"01","India","18","Kerala","Thiruvananthapuram","no","no","no","no","no","no"
"01","India","18","Kerala","Thrissur","no","no","no","no","no","no"
"01","India","18","Kerala","Wayanad","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Balaghat","no","no","no","no","yes","no"
"01","India","20","Madhya Pradesh","Barwani","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Betul","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Bhind","no","no","yes","yes","no","no"
"01","India","20","Madhya Pradesh","Bhopal","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Chhatarpur","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Chhindwara","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Damoh","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Datia","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Dewas","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Dhar","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Dindori","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","East nimar","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Guna","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Gwalior","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Harda","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Hoshangabad","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Indore","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Jabalpur","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Jhabua","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Katni","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Mandla","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Mandsaur","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Morena","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Narsimhapur","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Neemuch","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Panna","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Raisen","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Rajgarh","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Ratlam","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Rewa","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Sagar","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Satna","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Sehore","no","no","no","no","no","no"
"01","India","20","Madhya Pradesh","Seoni","no","no","no","no","no","no"
