"Country Code","Country","State Code","State","District","Observation Name","Lattitude","Longitude","Faecal Coliform","Total Coliform","Dissolved Oxygen","BOD","Nitrate + Nitrite","Conductivity","pH","SAR","COD"
"01","India","28","Punjab","Ludhiana","Satluj River Dn/S, Right Bank after confluence","N30°59’48.9”","E075°50’0.76”","900","1600","4.7","9","2.53","420","7.22","0.8","38"
"01","India","28","Punjab","Ludhiana","CETP Outlet (RO Permeat)","N30°53’11.9”","E075°55’44.4”","< 2","7","5","2","2.11","510","7.39","1.89","8"
"01","India","28","Punjab","Ludhiana","STP Outlet, Balloke","N30°56’08.7”","E075°46’57.2”","3300","6000","2.1","15","4.76","1080","7.32","2.19","58"
"01","India","28","Punjab","Ludhiana","Buddah Nallah, Baliapur","N30°58’22.0”","E075°39’04.4”","1400","1700","< 1","85","3.93","1600","7.19","4.29","248"
"01","India","28","Punjab","Ludhiana","Satluj River Up Steam left bank, near baliapur","N30°58’45.7”","E075°38’58.3”","500","800","5.2","3","4.53","618","7.5","1.89","10"
"01","India","28","Punjab","Ludhiana","Satluj River Up Steam Right bank, near baliapur","N30°58’53.5”","E075°39’8.7”","500","1200","5.1","3","4.74","628","7.22","1.95","12"
"01","India","28","Punjab","Ludhiana","Satluj River near sindhvabet","N30°57’57.9”","E075°28’54.3”","600","1100","2.8","32","2.97","1040","7.41","2.9","108"
"01","India","28","Punjab","Ludhiana","Satluj River Down Steam left bank, near baliapur","N30°58’28.7”","E075°37’35.5”","900","1700","2","37","1.84","1590","7.23","3.37","134"
"01","India","28","Punjab","Ludhiana","Abhor Canal","N30°46’42.0”","E075°51’18.9”","700","900","5.4","3","0.9","265","8.04","0.13","14"
"01","India","28","Punjab","Ludhiana","Buddha Nallah near Kumbhkala village","N30°55’14.8”","E076°03’54.7”","600","1400","5.2","4","3.4","643","7.56","0.67","18"
"01","India","31","Tamil Nadu","Manali","Bucki ngham Canal – U/s","N 13°08'29.4""","E 80°16'42.7""","9","20","<0.1","22","2.4","1900","7.12","5.47","80"
"01","India","31","Tamil Nadu","Manali","Buckingham Canal – D/s","N 13°10'31.3""","E 80°17'27.5""","7","26","<0.1","20","1.92","2400","7.13","6.84","64"
"01","India","31","Tamil Nadu","Manali","Amullavai Canal U/s","N 13°10'47.5""","E 80°15'22.8""","6","17","3.1","18","0.68","1480","7.92","5.44","62"
"01","India","31","Tamil Nadu","Manali","Amullavai Canal D/s","N 13°08'29.4""","E 80°16'11.7""","2","14","<0.1","21","5.91","10600","9.2","48.46","84"
"01","India","28","Punjab","Mandi gobindgarh","Ambamajra Road, Sarhind choi","N30°37’36.5”","E076°19’17.5”","5000","17000","<1","21","8.68","1190","7.47","2.16","82"
"01","India","28","Punjab","Mandi gobindgarh","Katera pond","N30°37’30.4”","E076°17’49.2”","14000","35000","<1","40","1.82","1480","8.05","4.25","138"
"01","India","28","Punjab","Mandi gobindgarh","Disposal Point of municipal Corp","N30°37’17.8”","E076°18’48.5”","11000","28000","< 1","45","1.6","1120","7.37","1.44","168"
"01","India","28","Punjab","Mandi gobindgarh","Chapra pond","N30°40’27.0”","E076°15’57.2”","9000","22000","< 1","70","5.02","1620","7.85","2.34","236"
"01","India","17","Karnataka","Mangalore","Atturkudi Stream","N 13°00’13.2’’","E074°50’52.3’’","<2","30","5.6","2","7.02","560","6.9","1.77","8"
"01","India","17","Karnataka","Mangalore","Gurupura River","N 12°55’56.0’’","E074°55’02.7’’","<2","26","5.6","5","2.95","834","7.91","2.98","28"
"01","India","17","Karnataka","Mangalore","Chitrapura Beach","N 12°57’24.8’’","E074°47’59.2’’","23","180","4.8","6","0.25","52500","7.98","53.06","32"
"01","India","17","Karnataka","Mangalore","Pilikula Pond","N 12°55’48.4’’","E074°53’42.9’’","2","50","5.2","5","0.45","70","7.87","0.3","24"
"01","India","21","Maharashtra","Navi mumbai","Creek Water (Vashi Bridge)","N19°03’50.2” ”","E072°58’40.5","7","110","5.1","8","3.67","55400","7.02","56.35","34"
"01","India","21","Maharashtra","Navi mumbai","CBD Lake (Near Bachat Bhavan)","N19°01’20.7”","E073°02’14.2”","<2","90","5.4","4","0.71","2700","7.54","3.39","18"
"01","India","21","Maharashtra","Navi mumbai","Rabale Lake","N19°08’38.5”","E073°00’07.2”","<2","70","5.6","3","0.72","1600","7.56","1.59","14"
"01","India","21","Maharashtra","Navi mumbai","Nocil Nalla","N19°07’58.8”","E073°00’14.7”","170","1300","<1","60","32.09","18900","2","1.31","244"
"01","India","10","Delhi","New delhi","Okhla Bird Sanctuary","N 28°33’06”","E077°19’06.3”","140","900","4.8","20","1.15","570","7.02","1.47","92"
"01","India","10","Delhi","New delhi","Yamuna River -Indra Prastha","N28°35’59.4”","E077°15’16.8”","2600","9000","1.6","58","0.91","1180","7.15","2.98","192"
"01","India","10","Delhi","New delhi","Yamuna River near Sachivalaya bridge","N28°37’38.4”","E077°15’11.9”","2100","7000","1.8","52","1.37","1200","7.06","2.79","168"
"01","India","10","Delhi","New delhi","Yamuna River near Kashmiri Gate","N28°39’53.7”","E077°14’17.9”","1400","5000","2.8","36","0.69","1220","7.15","3.12","134"
"01","India","35","UTTARPRADESH","Noida","Hindon River Near Yamuna express highway,","N28°26’52.5”","E077°29’22.0”","1400","2600","2.7","20","3.18","522","7.2","0.97","72"
"01","India","35","UTTARPRADESH","Noida","Hindon River Near kulleswara village","N28°31’51.3”","E077°26’00.2”","1400","2700","3.1","17","4.56","440","7.2","0.81","60"
"01","India","35","UTTARPRADESH","Noida","Hindon river, Lakkada village","N28°31’22.3”","E077°25’59.9”","1700","3300","4.8","18","5.87","420","7.12","0.79","64"
"01","India","35","UTTARPRADESH","Noida","Hindon river,Opp. Kulleswara village","N28°31’49.7”","E077°25’58.4”","2600","9000","3.2","19","6.12","434","7.19","0.77","68"
"01","India","35","UTTARPRADESH","Noida","Hindon River,Near Hallivardhana pur village","N28°32’10.9”","E077°26’04.1”","2200","8000","3.2","14","5.89","395","7.04","0.88","56"
"01","India","35","UTTARPRADESH","Noida","Hindon river,Near Talleswaar village,left bank","N28°25’15.5”","E077°30’22.0”","2100","5000","3","15","5.67","465","7.28","0.94","54"
"01","India","35","UTTARPRADESH","Noida","Hindon river,Near Talleswaar village, Right bank","N28°25’14.8”","E077°30’19.6”","1700","3400","3.1","14","5.89","484","7.57","0.97","48"
"01","India","29","Rajasthan","Pali","Lodiyactala b near Gandhi stechue circle","N25°46’58.8”","E073°19’44.4”","500","14000","4.5","19","0.47","760","8.19","3.28","76"
"01","India","29","Rajasthan","Pali","Bandi river downstream , Jaipur –Palli Highway","N25°46’03.1”","E073°21’14.5”","220","9000","4.6","13","2.12","984","7.57","4.22","52"
"01","India","29","Rajasthan","Pali","Lakhotiya talab Pali","N25°46’54.8”","E073°19’53.6”","80","2400","5.9","3","0.24","510","8.16","1.43","14"
"01","India","13","Haryana","Panipat","Garunda drain","N29°27’20.0’’","E076°58’13.7’’","1700","5000","< 1","36","8.6","1420","7.56","3.18","98"
"01","India","13","Haryana","Panipat","Pamipat drain No.2","N29°26’34.3’’","E076°58’15.1","< 2","21","4.5","9","0.91","272","7.7","0.24","38"
"01","India","13","Haryana","Panipat","Panipat drain No.1","N29°23’39.0’’","E076°59’26.8’’","2100","2700","< 1","75","3.88","2000","7.32","3.83","272"
"01","India","13","Haryana","Panipat","Yamuna River Down Stream","N29°23’60.3’’","E077°09’18.4’’","280","350","6.4","4","0.46","408","7.67","0.34","18"
"01","India","13","Haryana","Panipat","Yamuna River Up Stream","N29°24’58.2’’","E077°18’24.2’’","40","110","6.2","5","0.45","400","7.66","0.37","20"
"01","India","13","Haryana","Panipat","Panipat drain Up/s near Chajjpur","N29°22’55.5’’","E077°04’00.6’’","350","500","5.6","8","0.23","272","7.6","0.41","34"
"01","India","13","Haryana","Panipat","Panipat drain Dn/s near Chajjpur","N29°22’54.1’’","E077°03’59.6’’","60","90","5","9","0.23","278","7.62","0.42","38"
"01","India","13","Haryana","Panipat","Kala Amb pond near war memeorial","N29°23’53.6’’","E077°01’13.9’’","270","1100","4.2","24","3.18","1410","7.96","3.44","96"
"01","India","13","Haryana","Panipat","Surface water Panipat canal gohana road","N29°22’38.7’’","E076°56’51.9’’","23","180","5.9","5","0.45","224","7.98","0.35","24"
"01","India","13","Haryana","Panipat","STP 10 MLD outlet","N29°22’16.1’’","E076°56’36.1’’","1000","3400","< 1","130","8.83","2310","7.2","1.95","560"
"01","India","13","Haryana","Panipat","STP 10 MLD inlet","N29°22’17.4’’","E076°56’42.6’’","1700","5000","< 1","230","4.33","1340","7.05","2.8","612"
"01","India","13","Haryana","Panipat","Surface water Panipat canal IOC munek Road","N29°23’34.8’’","E076°56’40.5’’","30","240","6","4","0.23","230","7.73","0.16","18"
"01","India","13","Haryana","Panipat","STP 35 MLD inlet","N29°20’06.6’’","E076°59’36.5’’","4000","11000","< 1","160","3.2","2460","7.35","7.15","460"
"01","India","13","Haryana","Panipat","STP 35 MLD outlet","N29°19’58.5’’","E076°79’48.7’’","60","170","< 1","54","5.67","3610","7.81","7.27","224"
"01","India","13","Haryana","Panipat","CETP 21 MLD outlet","N29°20’58.3’’","E076°59’44.9’’","2200","4000","< 1","23","9.05","4620","8.04","15.46","104"
"01","India","13","Haryana","Panipat","CETP 21 MLD inlet","N29°21’11.1’’","E076°59’46.1’’","5000","11000","< 1","110","5.93","4360","7.66","22.29","304"
"01","India","13","Haryana","Panipat","Panipat Drain Near Simla Gujran","N29°19’12.0’’","E077°03’31.3’’","140","1100","< 1","25","2.76","2600","7.62","-","108"
"01","India","13","Haryana","Panipat","Main drain before mixing","N29°16’26.1’’","E077°07’28.7’’","170","280","5","11","0.48","390","7.54","0.97","48"
"01","India","13","Haryana","Panipat","main drain + Yamuna during mixing","N29°16’25.4’’","E077°07’29.1’’","130","220","5.2","9","0.25","492","7.95","0.77","40"
"01","India","13","Haryana","Panipat","River Yamuna After mixing","N29°16’13.7’’","E077°07’34.4’’","70","180","5.6","6","0.92","498","7.92","0.87","26"
"01","India","02","Andhra Pradesh","Patancheru & bollaram","Nakkavagu at Bachegudem","N 17°33.637’","E 078°13.943’","70","80","2.6","28","6.65","1340","8.09","3.05","84"
"01","India","02","Andhra Pradesh","Patancheru & bollaram","Isukavagu at PETL","N 17°32.384’","E 078°14.628’","9","20","<1","45","1","1520","8.02","3.21","128"
"01","India","02","Andhra Pradesh","Patancheru & bollaram","Krishna reddypet Tank","N 17°32.044’","E 078°17.933’","17","21","1.1","90","4.35","5600","8.21","10.01","346"
"01","India","02","Andhra Pradesh","Patancheru & bollaram","Asanikunta Tank","N 17°33.164’","E 078°19.989’","11","22","<1","630","8.15","10220","8.14","8.89","1860"
"01","India","35","UTTARPRADESH","Singrauli","Balia Nala D/s near Bridge, Shaktinagar","N24°05’56.6”","E082°42’05.3”","< 2","23","5.2","10","2.96","480","7.72","1.25","42"
"01","India","35","UTTARPRADESH","Singrauli","Balia Nala U/s Bridge, Kadia colony","N24°07’08.9”","E082°40’38.6”","< 2","26","3.8","21","4.8","576","7.76","0.82","96"
"01","India","35","UTTARPRADESH","Singrauli","Lake water near Senior Transit Camp, NCL, Bina","N24°09’28.8”","E082°46’11.7”","< 2","50","6","3","3.41","598","7.84","0.84","12"
"01","India","35","UTTARPRADESH","Singrauli","Kava nala, Anpara","N24°11’52.0”","E082°45’43.3”","< 2","110","5.4","6","0.25","515","8.32","1.65","28"
"01","India","35","UTTARPRADESH","Singrauli","Rihand river near Kohadowal village","N24°07’27.7”","E082°46’28.0”","< 2","< 2","6.2","3","0.24","124","7.8","0.39","12"
"01","India","35","UTTARPRADESH","Singrauli","Surya Nala, near police station bridge, Vindhyanagar","N24°05’03.0”","E082°39’45.4”","< 2","< 2","5.2","4","2.26","348","7.46","1.04","20"
"01","India","35","UTTARPRADESH","Singrauli","Rihand Reservoir near Baliyari village U/s","N24°02’22.6”","E082°38’12.2”","< 2","< 2","6.4","3","7.5","542","8.1","0.87","14"
"01","India","35","UTTARPRADESH","Singrauli","Kanchana nallah near chauhan cold storage, Kachni","N24°04’31.1”","E082°35’15.9”","17","2200","6.1","3","3.62","438","7.75","1.19","12"
"01","India","35","UTTARPRADESH","Singrauli","Balia Nallah near Dudichua STP","N24°07’20.1”","E082°40’3.9”","50","3000","3.6","21","5.11","635","7.58","0.75","92"
"01","India","35","UTTARPRADESH","Singrauli","Rihand river, Singrauli to rihand nagar road under rail bridge","N24°02’01.7”","E082°37’28.6”","17","900","5.2","4","0.9","427","8.03","1.13","20"
"01","India","35","UTTARPRADESH","Singrauli","Murdhwa Nallah","N24°13’33.8”","E083°02’32.6”","70","2800","4.1","16","0.93","996","7.59","0.63","68"
"01","India","35","UTTARPRADESH","Singrauli","Rihand Reservior, Up Stream","N24°11’42.6”","E083°02’41.2”","< 2","22","6.4","2","0.24","152","8.42","0.47","8"
"01","India","35","UTTARPRADESH","Singrauli","Dongia Nallah","N24°11’55.1”","E083°02’36.1”","9","350","3.8","12","2.48","5000","8.17","15.3","50"
"01","India","35","UTTARPRADESH","Singrauli","Rihand Dam Down Stream","N24°12’33.7”","E083°00’06.2”","< 2","500","6.4","2","0.24","134","7.94","0.37","10"
"01","India","35","UTTARPRADESH","Singrauli","Sone River down stream","N24°27’38.1”","E082°58’18.1”","< 2","40","4.3","10","0.24","130","7.67","0.45","38"
"01","India","35","UTTARPRADESH","Singrauli","Sone River up stream, near somnath mandir, gotheni","N24°32’45.8”","E082°58’42.0”","11","240","4.8","4","0.24","252","7.96","0.39","18"
"01","India","35","UTTARPRADESH","Singrauli","Sone River near toll Bridge","N24°32’10.2”","E083°01’20.4”","14","220","4.6","3","0.24","253","8.1","0.38","12"
"01","India","35","UTTARPRADESH","Singrauli","Sone River Down Stream","N24°31’52.4”","E083°01’16.8”","8","110","4.9","3","0.23","132","7.93","0.42","10"
"01","India","21","Maharashtra","Tarapur","BPT Navapur out fall","N19°46’09.0”","E72°41’10.0”","<2","12","<1","34","3.43","55300","6.92","56.67","82"
"01","India","21","Maharashtra","Tarapur","Over Flow of Sump No. - 1","N19°46’40.0”","E72°44’16.2”","<2","90","<1","19","4.84","2000","6","3.46","76"
"01","India","21","Maharashtra","Tarapur","Nalla Carrying domestic sewage at Saravalli","N19°46’49.5”","E72°44’23.2”","90","2800","2.8","10","8.83","1200","7.07","1.53","42"
"01","India","21","Maharashtra","Tarapur","Nalla to Dhandi Creek","N19°49’01.3”","E72°43’34.9”","22","110","<1","280","29.51","13720","7.36","14.98","672"
"01","India","12","Gujarat","Vapi","River Damanganga after Silvassa","N 20°17’53.9”","E 072°58’34.8”","<2","<2","6.8","4","0.46","390","7.74","0.72","18"
"01","India","12","Gujarat","Vapi","Bhilkhadi Downstream near Pumping station - 1","N 20°22’29.4”","E 072°55’51.7”","7","17","<1","82","1.84","5190","7.47","5.25","308"
"01","India","12","Gujarat","Vapi","Bhilkhadi near NH - 8","N 20°24’23.1”","E 072°54’53.9”","50","220","2","15","1.15","1020","7.92","0.57","62"
"01","India","12","Gujarat","Vapi","River Kolak near Koteshwar Mandir","N 20°26’16.8”","E 072°54’04.7”","22","34","1.8","7","1.36","690","7.24","1.1","28"
"01","India","12","Gujarat","Vapi","River Damanganga at Jari Causeway","N 20°22’17.9”","E 072°52’50.8”","17","50","1.4","12","2.01","2500","7.1","2.47","52"
"01","India","12","Gujarat","Vapi","CETP Outlet","N 20°20’35.9”","E 072°54’23.4”","23","70","<1.0","74","2.05","8000","7.16","4.59","280"
"01","India","35","UTTARPRADESH","Varanasi","Dashashwa medh Ghat, Ganga river,","N25°18’21.8”","E083°00’44.1”","11","900","6.2","5","2.05","530","8.24","1.38","24"
"01","India","35","UTTARPRADESH","Varanasi","Assi ghat , Ganga river","N25°17’30.4”","E083°00’30.7”","7","500","6.4","4","2.06","524","8.02","1.39","20"
"01","India","35","UTTARPRADESH","Varanasi","Near High tension wire poles, Ganga river, Down  Stream","N25°19’44.4”","E083°03’22.4”","21","500","6.4","4","2.08","510","8.16","1.36","18"
"01","India","35","UTTARPRADESH","Varanasi","Varuna river, Down Stream","N25°19’46.0”","E083°02’38.7”","1400","2600","6","10","2.53","442","7.62","0.87","38"
"01","India","35","UTTARPRADESH","Varanasi","Ganga river U/s Near floating bridge, Ramnagar fort","N25°16’20.8”","E083°01’17.8”","7","1600","6.2","6","2.51","510","7.95","1.36","28"
"01","India","35","UTTARPRADESH","Varanasi","Pishach Mochan pond","N25°19’19.9”","E082°59’47.7”","9","140","5.9","11","2.75","715","8.16","4.03","46"
"01","India","35","UTTARPRADESH","Varanasi","Varuna river, m/s, Near new varuna bridge","N25°20’25.2”","E082°58’51.1”","21","500","6.1","7","2.07","320","8.03","0.5","24"
"01","India","35","UTTARPRADESH","Varanasi","Varuna river, u/s Near Rameswar mahadev dham bridge","N25°23’15.3”","E082°51’15.0”","17","350","6","9","1.4","320","7.92","0.73","32"
"01","India","12","Gujarat","Vatva","River Sabarmati at Miroli Pumping station","N 22°52’34.1”","E 072°30’09.8”","4","13","<1","50","4.06","1950","7.13","8.61","168"
"01","India","12","Gujarat","Vatva","Mega outfall near Narol","N 22°58’46.4”","E 072°32’39.3”","23","30","<1","150","3.62","5500","7.51","14.96","496"
"01","India","12","Gujarat","Vatva","Outlet of CETP – GIDC VATVA","N 22°57’15.9”","E 072°38’21.1”","13","17","3.6","85","6.79","7100","7.45","21.79","288"
"01","India","12","Gujarat","Vatva","Kharicut canal downstrea m near Vinzol Bridge","N 22°57’07.1”","E 072°38’24.2”","23","300","6.8","7","1.15","370","7.32","1.49","24"
"01","India","31","Tamil Nadu","Vellore","Pullianthan qal Eri","N 12°57’48.9’’","E079°17’39.2’’","<2","11","2.2","38","1.82","2700","8.25","5.5","140"
"01","India","31","Tamil Nadu","Vellore","Pullianqan Eri","N 12°56’43.3’’","E079°18’37.6’’","<2","17","<1","410","5.92","7700","8.17","27.11","1456"
"01","India","31","Tamil Nadu","Vellore","Karai Eri","N 12°56’19.5’’","E079°18’46.8’’","<2","21","<1","150","5.23","6600","8.3","21.56","548"
"01","India","02","Andhra Pradesh","Visakhapatnam","Ghambirage dda","N 17 ° 52.457’","E 83 °21.115’","<2","13","5.2","7","1.81","630","8.1","0.61","26"
"01","India","02","Andhra Pradesh","Visakhapatnam","Mudrhara Lava Reservoir","N 17 ° 45.816’","E 83 °17.897’","<2","11","5.6","3","0.68","600","8.2","1.55","10"
"01","India","02","Andhra Pradesh","Visakhapatnam","Mehadrige dda Reservoir","N 17 ° 40.863’","E 83°12.004’","<2","8","5.5","4","0.23","380","8.01","1.67","16"
"01","India","02","Andhra Pradesh","Visakhapatnam","Kanithi Reservoir","N 17 ° 44.704’","E 83°09.842’","<2","9","5.4","5","0.45","330","7.95","0.99","20"
